path,category,action,grade,width,height,target_w,target_h,frame_w,frame_h,target_size_kb,bundle,atlas_group,state,reason
tiles/abyss/tile_abyss_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/abyss/tile_abyss_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/abyss/tile_abyss_thorn.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/abyss/tile_abyss_wall.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_abyss,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/catacombs/tile_catacombs_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/catacombs/tile_catacombs_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/catacombs/tile_catacombs_thorn.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/catacombs/tile_catacombs_wall.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_catacombs,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/forest/tile_forest_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/forest/tile_forest_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/forest/tile_forest_thorn.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/forest/tile_forest_wall.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_forest,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/swamp/tile_swamp_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/swamp/tile_swamp_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/swamp/tile_swamp_thorn.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/swamp/tile_swamp_wall.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_swamp,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/tundra/tile_tundra_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/tundra/tile_tundra_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/tundra/tile_tundra_thorn.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/tundra/tile_tundra_wall.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_tundra,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/volcano/tile_volcano_floor.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
tiles/volcano/tile_volcano_highground.png,tiles,keep,B,32,32,32,32,32,32,2,bundle_tiles_volcano,,same_as_old_backup,old_resource_copied_or_not_replaced
